,Name,Price,Year,Kms_Driven,Owner_type,City
1583,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1584,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1585,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1586,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1587,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1588,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1589,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1590,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1591,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1592,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1593,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1594,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1595,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1596,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1597,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1598,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1599,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1600,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1601,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1602,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1603,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1604,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1605,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1606,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1607,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1608,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1609,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1610,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1611,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1612,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1613,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1614,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1615,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1616,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1617,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1618,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1619,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1620,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1621,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1622,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1623,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1624,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1625,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1626,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1627,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1628,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1629,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1630,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1631,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1632,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1633,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1634,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1635,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1636,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1637,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1638,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1639,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1640,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1641,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1642,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1643,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1644,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1645,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1646,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1647,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1648,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1649,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1650,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1651,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1652,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1653,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1654,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1655,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1656,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1657,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1658,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1659,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1660,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1661,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1662,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1663,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1664,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1665,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1666,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1667,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1668,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1669,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1670,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1671,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1672,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1673,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1674,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1675,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1676,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1677,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1678,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1679,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1680,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1681,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1682,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1683,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1684,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1685,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1686,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1687,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1688,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1689,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1690,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1691,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1692,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1693,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1694,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1695,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1696,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1697,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1698,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1699,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1700,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1701,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1702,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1703,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1704,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1705,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1706,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1707,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1708,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1709,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1710,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1711,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1712,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1713,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1714,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1715,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1716,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1717,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1718,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1719,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1720,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1721,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1722,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1723,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1724,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1725,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1726,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1727,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1728,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1729,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1730,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1731,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1732,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1733,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1734,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1735,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1736,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1737,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1738,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1739,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1740,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1741,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1742,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1743,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1744,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1745,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1746,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1747,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1748,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1749,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1750,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1751,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1752,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1753,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1754,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1755,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1756,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1757,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1758,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1759,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1760,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1761,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1762,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1763,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1764,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1765,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1766,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1767,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1768,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1769,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1770,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1771,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1772,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1773,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1774,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1775,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1776,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1777,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1778,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1779,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1780,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1781,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1782,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1783,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1784,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1785,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1786,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1787,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1788,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1789,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1790,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1791,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1792,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1793,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
1794,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
1795,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
1796,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
1797,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
1798,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
1799,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
1800,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
1801,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
1802,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
1803,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
1804,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
1805,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
1806,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
1807,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
1808,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
1809,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
1810,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
1811,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
1812,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
1813,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
