,Owner,No_BHK,Location,price,sqfeet
1528,AGENT,4 BHK Villa,Mokila, 3.03 Cr,"8,000 / sq ft"
1529,AGENT,4 BHK Villa,Mokila, 3.04 Cr,"8,000 / sq ft"
1530,AGENT,1 BHK Apartment,Amberpet, 27 L,"4,909 / sq ft"
1531,AGENT,3 BHK Apartment,Chandanagar, 68 L,"4,171 / sq ft"
1532,AGENT,3 BHK Apartment,Miyapur, 65 L,"3,939 / sq ft"
1533,AGENT,3 BHK Apartment,Miyapur, 71 L,"4,350 / sq ft"
1534,AGENT,3 BHK Apartment,Miyapur, 74.85 L,"4,536 / sq ft"
1535,AGENT,3 BHK Apartment,Miyapur, 75 L,"4,545 / sq ft"
1536,AGENT,3 BHK Apartment,Miyapur, 73.5 L,"4,455 / sq ft"
1537,AGENT,3 BHK Apartment,Miyapur, 72.58 L,"4,032 / sq ft"
1538,AGENT,3 BHK Apartment,Nanakramguda, 1.62 Cr,"8,199 / sq ft"
1539,AGENT,3 BHK Apartment,Nanakramguda, 1.62 Cr,"8,199 / sq ft"
1540,AGENT,3 BHK Apartment,Nanakramguda, 1.62 Cr,"8,199 / sq ft"
1541,AGENT,3 BHK Apartment,Nanakramguda, 1.62 Cr,"8,199 / sq ft"
